CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME
CHEMBL164904	274805	CHEMBL164904	274805		124	496.5	3.07	177.91	0	CCCCn1cc2c(nc(NC(=O)Nc3ccc(cc3)S(=O)(=O)O)n4nc(nc24)c5occc5)n1	2916483	Ki	=	352	nM	6.45	Ki	=	352	nM			1	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	587703	CHEMBL1037717	B	Displacement of [3H]NECA from human adenosine A2A receptor expressed in CHO cells	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000219	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein	7tm_1	high	48395	CHEMBL1154073	19501513	Bioorg. Med. Chem.	2009	17	14	5259	449	CHEMBL3308072	CHO
CHEMBL164904	274805	CHEMBL164904	274805		124	496.5	3.07	177.91	0	CCCCn1cc2c(nc(NC(=O)Nc3ccc(cc3)S(=O)(=O)O)n4nc(nc24)c5occc5)n1	2915796	pKi	=	-2.55	nM		pKi	=	-2.55	nM		Manually validated	0		UO_0000065	http://www.openphacts.org/units/Nanomolar	587703	CHEMBL1037717	B	Displacement of [3H]NECA from human adenosine A2A receptor expressed in CHO cells	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000219	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein	7tm_1	high	48395	CHEMBL1154073	19501513	Bioorg. Med. Chem.	2009	17	14	5259	449	CHEMBL3308072	CHO
CHEMBL1762626	1139921	CHEMBL1762626	1139921		25	477.56	1.16	107.82	0	NC1=Nc2c(cnn2CCN3CCC(CC3)N4CCOCC4)C5=NN(Cc6ccccc6)C(=O)N15	6156611	Ki	=	28.4	nM	7.55	Ki	=	28.4	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	739869	CHEMBL1762929	F	Antagonist activity against human adenosine A2A receptor	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000019	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein	7tm_1	high	57089	CHEMBL1759931	21398125	Bioorg. Med. Chem. Lett.	2011	21	8	2497			
CHEMBL3093225	1607604	CHEMBL3093225	1607604		20d	397.47	3.07	70.91	0	CCN1C(=O)N(CC)c2nc3N(CCc4ccccc4OC)CCCn3c2C1=O	13847501	Ki					Ki				Not Determined		0	BAO_0000192			1278712	CHEMBL3096086	B	Displacement of [3H]MSX-2 from human adenosine A2A receptor expressed in CHO cells	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein			76162	CHEMBL3091303	24139167	Bioorg. Med. Chem.	2013	21	23	7435			
CHEMBL486131	516535	CHEMBL486131	516535		9a	423.47	1.36	107.29	0	COc1cncc(c1)c2cc(NC(=O)CN3CCOCC3)nc(n2)n4nc(C)cc4C	2398370	Ki	=	4	nM	8.4	Ki	=	4	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	493278	CHEMBL952340	B	Displacement of [3H]ZM241685 from human adenosine A2A receptor expressed in HEK293 cells	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein	7tm_1	high	45867	CHEMBL1152277	18947224	J. Med. Chem.	2008	51	22	7099	722	CHEMBL3307715	HEK293
CHEMBL195356	327849	CHEMBL195356	327849		1f	264.33	2.59	63.83	0	Cc1ccc2c(NN)c(Cc3ccccc3)cnc2n1	1604919	Ki	=	720	nM	6.14	Ki	=	720	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	320866	CHEMBL884791	B	Inhibition of [3H]CGS-21680 binding to adenosine A2a receptor of bovine striatal membrane	1	Scientific Literature	Bos taurus		9913	Expert	BAO_0000019	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	8	Homologous protein			30068	CHEMBL1143448	16099648	Bioorg. Med. Chem. Lett.	2005	15	20	4604			
CHEMBL1258419	707429	CHEMBL1258419	707429		11	477.52	4.7	109.29	0	Nc1nc2c(cnn2CCCc3ccc(O\C=C\c4ccccc4)cc3)c5nc(nn15)c6occc6	3500059	Ki	=	308	nM	6.51	Ki	=	308	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	664610	CHEMBL1260324	B	Displacement of [3H]CGS21680 from human adenosine A2A receptor expressed in HEK293 cells at 10 uM	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein	7tm_1	high	53080	CHEMBL1255545	20801028	Bioorg. Med. Chem. Lett.	2010	20	19	5690	722	CHEMBL3307715	HEK293
CHEMBL195356	327849	CHEMBL195356	327849		1f	264.33	2.59	63.83	0	Cc1ccc2c(NN)c(Cc3ccccc3)cnc2n1	1604921	Ki	>	10000	nM		Ki	>	10000	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	320862	CHEMBL884787	B	Inhibition of [3H]CGS-21680 binding to adenosine A2a receptor of human striatal membrane	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000019	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein			30068	CHEMBL1143448	16099648	Bioorg. Med. Chem. Lett.	2005	15	20	4604			
CHEMBL573089	569712	CHEMBL573089	569712		178	498.36	5.44	103.13	1	CC(C)CCn1cc2c(nc(NC(=O)Cc3c(Cl)cccc3Cl)n4nc(nc24)c5occc5)n1	2915744	pKi	=	-1.27	nM		pKi	=	-1.27	nM		Manually validated	0		UO_0000065	http://www.openphacts.org/units/Nanomolar	587703	CHEMBL1037717	B	Displacement of [3H]NECA from human adenosine A2A receptor expressed in CHO cells	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000219	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein	7tm_1	high	48395	CHEMBL1154073	19501513	Bioorg. Med. Chem.	2009	17	14	5259	449	CHEMBL3308072	CHO
CHEMBL573089	569712	CHEMBL573089	569712		178	498.36	5.44	103.13	1	CC(C)CCn1cc2c(nc(NC(=O)Cc3c(Cl)cccc3Cl)n4nc(nc24)c5occc5)n1	2916431	Ki	=	18.7	nM	7.73	Ki	=	18.7	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	587703	CHEMBL1037717	B	Displacement of [3H]NECA from human adenosine A2A receptor expressed in CHO cells	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000219	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein	7tm_1	high	48395	CHEMBL1154073	19501513	Bioorg. Med. Chem.	2009	17	14	5259	449	CHEMBL3308072	CHO
CHEMBL389040	378541	CHEMBL389040	378541		8	346.34	3	98.85	0	COc1ccc(Nc2ncc(c3ccncn3)c(n2)c4occc4)cn1	1880916	Inhibition	=	21	%		Inhibition	=	21	%			0	BAO_0000201	UO_0000187	http://qudt.org/vocab/unit#Percent	436386	CHEMBL904694	B	Displacement of [3H]ZM-241385 from human A2A receptor expressed in HeLa cells at 2500 nM	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000219	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein			35783	CHEMBL1143065	17469811	J. Med. Chem.	2007	50	11	2732	308	CHEMBL3308376	HeLa
CHEMBL67026	105991	CHEMBL67026	105991		5h	375.38	2.95	120.29	0	Nc1nc2c(cnn2CCCc3ccc(O)cc3)c4nc(nn14)c5occc5	917237	IC50	=	10	nM	8	IC50	=	10	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	90338	CHEMBL696391	F	Inhibition of 1 uM NECA-stimulated cyclic AMP levels in human platelets	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000019	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein	7tm_1	high	14441	CHEMBL1131246	9622554	J. Med. Chem.	1998	41	12	2126			
CHEMBL389040	378541	CHEMBL389040	378541		8	346.34	3	98.85	0	COc1ccc(Nc2ncc(c3ccncn3)c(n2)c4occc4)cn1	1880907	Ki	>	2500	nM		Ki	>	2500	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	436385	CHEMBL904693	B	Displacement of [3H]ZM-241385 from human A2A receptor expressed in HeLa cells	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000219	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein			35783	CHEMBL1143065	17469811	J. Med. Chem.	2007	50	11	2732	308	CHEMBL3308376	HeLa
CHEMBL1082063	618722	CHEMBL1082063	618722		40	367.47	3.6	108.04	0	O=C(NC1CCCCC1)c2nc(NCc3cccnc3)nc4ccsc24	3219260	IC50	=	3093	nM	5.51	IC50	=	3093	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	622830	CHEMBL1105840	F	Antagonist activity at human adenosine A2A receptor expressed in CHOK1 cells assessed as inhibition of calcium mobilization by FLIPR assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein	7tm_1	high	50108	CHEMBL1154258	19733067	Bioorg. Med. Chem. Lett.	2009	19	20	5945	485	CHEMBL3307512	CHO-K1
CHEMBL660	27647	CHEMBL660	27647	AMANTADINE	AMANTADINE	151.25	1.5	26.02	0	NC12CC3CC(CC(C3)C1)C2	7625333	IC50					IC50				Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)		0	BAO_0000190			774693	CHEMBL1909214	B	DRUGMATRIX: Adenosine A2A radioligand binding (ligand: AB-MECA)	15	DrugMatrix			32644	Autocuration	BAO_0000249	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein			59306	CHEMBL1909046							722	CHEMBL3307715	HEK293
CHEMBL660	27647	CHEMBL660	27647	AMANTADINE	AMANTADINE	151.25	1.5	26.02	0	NC12CC3CC(CC(C3)C1)C2	7625334	Ki					Ki				Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)		0	BAO_0000192			774693	CHEMBL1909214	B	DRUGMATRIX: Adenosine A2A radioligand binding (ligand: AB-MECA)	15	DrugMatrix			32644	Autocuration	BAO_0000249	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein			59306	CHEMBL1909046							722	CHEMBL3307715	HEK293
CHEMBL487894	451916	CHEMBL461522	453508	DIPYRONE SODIUM	DIPYRONE	311.36	.38	89.54	0	[Na+].CN(CS(=O)(=O)[O-])C1=C(C)N(C)N(C1=O)c2ccccc2	7692115	IC50					IC50				Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)		0	BAO_0000190			774693	CHEMBL1909214	B	DRUGMATRIX: Adenosine A2A radioligand binding (ligand: AB-MECA)	15	DrugMatrix			32644	Autocuration	BAO_0000249	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein			59306	CHEMBL1909046							722	CHEMBL3307715	HEK293
CHEMBL487894	451916	CHEMBL461522	453508	DIPYRONE SODIUM	DIPYRONE	311.36	.38	89.54	0	[Na+].CN(CS(=O)(=O)[O-])C1=C(C)N(C)N(C1=O)c2ccccc2	7692116	Ki					Ki				Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)		0	BAO_0000192			774693	CHEMBL1909214	B	DRUGMATRIX: Adenosine A2A radioligand binding (ligand: AB-MECA)	15	DrugMatrix			32644	Autocuration	BAO_0000249	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein			59306	CHEMBL1909046							722	CHEMBL3307715	HEK293
CHEMBL631	27112	CHEMBL631	27112	PROPAFENONE	PROPAFENONE	341.44	3.67	58.56	0	CCCNCC(O)COc1ccccc1C(=O)CCc2ccccc2	7728641	IC50					IC50				Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)		0	BAO_0000190			774693	CHEMBL1909214	B	DRUGMATRIX: Adenosine A2A radioligand binding (ligand: AB-MECA)	15	DrugMatrix			32644	Autocuration	BAO_0000249	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein			59306	CHEMBL1909046							722	CHEMBL3307715	HEK293
CHEMBL631	27112	CHEMBL631	27112	PROPAFENONE	PROPAFENONE	341.44	3.67	58.56	0	CCCNCC(O)COc1ccccc1C(=O)CCc2ccccc2	7728642	Ki					Ki				Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)		0	BAO_0000192			774693	CHEMBL1909214	B	DRUGMATRIX: Adenosine A2A radioligand binding (ligand: AB-MECA)	15	DrugMatrix			32644	Autocuration	BAO_0000249	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein			59306	CHEMBL1909046							722	CHEMBL3307715	HEK293
CHEMBL2151252	1421918	CHEMBL2151252	1421918		5	342.78	3.52	79.9	0	C[C@@H](Oc1ccc(Cl)cc1)C(=O)Nc2nc(n[nH]2)c3ccccc3	12051670	Ki	=	4000	nM	5.4	Ki	=	4	uM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	853296	CHEMBL2155056	B	Displacement of [3H]CGS21680 from human A2A adenosine receptor expressed in HEK293 cells after 60 mins by liquid scintillation counting	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein	7tm_1	high	65511	CHEMBL2150932	23342198	ACS Med. Chem. Lett.	2012	3	9	715	722	CHEMBL3307715	HEK293
CHEMBL2261342	1479171	CHEMBL2261342	1479171	GR-190178	GR 190178	391.35	.79	134.78	0	COC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(Nc4ccc(O)c(F)c4)ncnc23	12456402	Ki	>	100000	nM		pKi	<	4				0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	910837	CHEMBL3058127	F	Agonist activity at Homo sapiens (human) adenosine A2a receptor expressed in CHO cells	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein			69750	CHEMBL3045486		Med Chem Res	2004	13	1	88			
CHEMBL165083	275548	CHEMBL165083	275548		13	432.39	2.53	133.63	0	CCn1cc2c(nc(NC(=O)Nc3ccc4OCOc4c3)n5nc(nc25)c6occc6)n1	2915874	pKi	=	-2.76	nM		pKi	=	-2.76	nM		Manually validated	0		UO_0000065	http://www.openphacts.org/units/Nanomolar	587703	CHEMBL1037717	B	Displacement of [3H]NECA from human adenosine A2A receptor expressed in CHO cells	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000219	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein	7tm_1	high	48395	CHEMBL1154073	19501513	Bioorg. Med. Chem.	2009	17	14	5259	449	CHEMBL3308072	CHO
CHEMBL344706	230878	CHEMBL344706	230878		58	283.29	1.84	100.05	0	CCCn1cc2c(nc(N)n3nc(nc23)c4occc4)n1	2915829	pKi	=	-.4	nM		pKi	=	-.4	nM		Manually validated	0		UO_0000065	http://www.openphacts.org/units/Nanomolar	587703	CHEMBL1037717	B	Displacement of [3H]NECA from human adenosine A2A receptor expressed in CHO cells	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000219	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein	7tm_1	high	48395	CHEMBL1154073	19501513	Bioorg. Med. Chem.	2009	17	14	5259	449	CHEMBL3308072	CHO
CHEMBL2113270	1385521	CHEMBL2113270	1385521		38	622.65	2.38	232.1	3	Cc1ccc(cc1)S(=O)(=O)n2cc(CCOc3nc(NC(=N)N)c4ncn([C@@H]5O[C@H](CO)[C@@H](O)[C@H]5O)c4n3)c6ccccc26	1831156	Ki	=	344	nM	6.46	Ki	=	344	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	429487	CHEMBL918609	B	Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000219	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein	7tm_1	high	35256	CHEMBL1144471	17378544	J. Med. Chem.	2007	50	8	1810	449	CHEMBL3308072	CHO
CHEMBL408869	427895	CHEMBL408869	427895		6	303.28	4.39	33.12	0	OC(c1ccccc1)c2cc(nc3ccccc23)C(F)(F)F	2165731	Ki	=	9524	nM	5.02	Ki	=	9524	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	479701	CHEMBL933565	B	Binding affinity to human adenosine A2A receptor	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein	7tm_1	high	39525	CHEMBL1145611	18406614	Bioorg. Med. Chem. Lett.	2008	18	9	2916			
CHEMBL604896	595506	CHEMBL604896	595506		9c	340.33	2.16	95.58	0	CCN1C(=O)N(Cc2occc2)c3nc(Cc4occc4)[nH]c3C1=O	3068775	Ki	=	524.81	nM	6.28	pKi	=	6.28				0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	601037	CHEMBL1069174	B	Displacement of [3H]ZM241385 from human adenosine A2A receptor expressed in HeLa cells by microplate beta scintillation counting	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein	7tm_1	high	49222	CHEMBL1152551	19682912	Bioorg. Med. Chem.	2009	17	18	6755	308	CHEMBL3308376	HeLa
CHEMBL1671923	1068947	CHEMBL1671923	1068947		15	351.85	2.77	99.33	0	CC(C)(C)CC(=O)Nc1ccc(cc1)C(=O)Nc2ncc(Cl)s2	5207179	Ki	=	28	nM	7.55	Ki	=	28	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	718204	CHEMBL1679250	B	Displacement of [3H]-ZM241385 from human adenosine A2A receptor expressed in high five cells after 30 mins by scintillation counting	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein	7tm_1	high	55633	CHEMBL1671809	21210664	J. Med. Chem.	2011	54	3	751			
CHEMBL583	17136	CHEMBL583	17136	GREPAFLOXACIN	GREPAFLOXACIN	359.39	-.41	72.88	0	CC1CN(CCN1)c2cc3N(C=C(C(=O)O)C(=O)c3c(C)c2F)C4CC4	7674888	IC50					IC50				Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)		0	BAO_0000190			774693	CHEMBL1909214	B	DRUGMATRIX: Adenosine A2A radioligand binding (ligand: AB-MECA)	15	DrugMatrix			32644	Autocuration	BAO_0000249	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein			59306	CHEMBL1909046							722	CHEMBL3307715	HEK293
CHEMBL583	17136	CHEMBL583	17136	GREPAFLOXACIN	GREPAFLOXACIN	359.39	-.41	72.88	0	CC1CN(CCN1)c2cc3N(C=C(C(=O)O)C(=O)c3c(C)c2F)C4CC4	7674889	Ki					Ki				Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)		0	BAO_0000192			774693	CHEMBL1909214	B	DRUGMATRIX: Adenosine A2A radioligand binding (ligand: AB-MECA)	15	DrugMatrix			32644	Autocuration	BAO_0000249	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein			59306	CHEMBL1909046							722	CHEMBL3307715	HEK293
CHEMBL598251	600384	CHEMBL598251	600384		24a	297.31	3.52	60.7	0	COC(=O)Nc1oc2c(OC)ccc(c3ccccc3)c2c1	3104847	Inhibition	=	85	%		INH	=	85	%			0	BAO_0000201	UO_0000187	http://qudt.org/vocab/unit#Percent	610145	CHEMBL1065882	B	Inhibition of [3H]CGS21680 binding to human adenosine A2A receptor at 0.1 umol/L by scintillation counting	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein			49875	CHEMBL1159038	20034788	Bioorg. Med. Chem. Lett.	2010	20	3	1090			
CHEMBL289982	52683	CHEMBL289982	52683		4b	414.42	-.08	168.64	0	Nc1nc(NC(=O)CCc2ccccc2)nc3c1ncn3[C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O	741954	Ki	=	4570	nM	5.34	Ki	=	4570	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	31377	CHEMBL644669	B	Displacement of [3H]NECA from human adenosine A2A receptor in stably transfected CHO cells	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000219	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein	7tm_1	high	6714	CHEMBL1147632	15006389	Bioorg. Med. Chem. Lett.	2004	14	6	1495	449	CHEMBL3308072	CHO
CHEMBL2030684	1342741	CHEMBL2030684	1342741		9	363.41	2.72	80.12	0	CC1CC(c2ccccc2)n3nc(nc3N1)N4C(=O)C5CC=CCC5C4=O	10887341	Ki	=	1995.26	nM	5.7	pKi	=	5.7				0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	818419	CHEMBL2034646	B	Displacement of [3H]ZM241385 from human A2A receptor expressed in HEK293 cells after 1 hr by liquid scintillation counting	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	252	CHEMBL251	SINGLE PROTEIN	P29274	Adenosine A2a receptor	Homo sapiens	9	Protein	7tm_1	high	61923	CHEMBL2029292	22250781	J. Med. Chem.	2012	55	5	1904	722	CHEMBL3307715	HEK293
